election_id,candidate_sources_count,has_pr_party_lists,has_smd_candidates,has_mayor_candidates,has_presidential_or_individual_candidates,has_elected_list,has_local_candidate_yaml,known_candidate_rows,missing_sources,parse_warnings,types,paths
adj_2008,2,yes,yes,no,no,no,no,338,,,PR party lists|SMD candidates,PR party lists: data/candidates/adj2008_party_lists.csv|SMD candidates: data/candidates/adj2008_smd_candidates.csv
adj_2016,3,yes,yes,no,no,yes,no,531,,,PR party lists|SMD candidates|elected list,elected list: data/candidates/adj2016_elected.csv|PR party lists: data/candidates/adj2016_party_lists.csv|SMD candidates: data/candidates/adj2016_smd_candidates.csv
adj_2020,3,yes,yes,no,no,yes,no,567,,,PR party lists|SMD candidates|elected list,elected list: data/candidates/adj2020_elected.csv|PR party lists: data/candidates/adj2020_party_lists.csv|SMD candidates: data/candidates/adj2020_smd_candidates.csv
local_2010,3,no,yes,yes,no,no,yes,8176,,,SMD candidates|candidate list|local candidate config YAML|mayor/gamgebeli candidates,mayor/gamgebeli candidates: data/candidates/local2010_mayor_candidates.csv|SMD candidates: data/candidates/local2010_smd_candidates.csv|candidate list|local candidate config YAML: data/config/candidates/local/local_2010.yml
local_2014,5,yes,yes,yes,no,yes,yes,25153,,,PR party lists|SMD candidates|candidate list|elected list|local candidate config YAML|mayor/gamgebeli candidates,elected list: data/candidates/local2014_elected.csv|mayor/gamgebeli candidates: data/candidates/local2014_mayor_gamgebeli_candidates.csv|PR party lists: data/candidates/local2014_party_lists.csv|SMD candidates: data/candidates/local2014_smd_candidates.csv|candidate list|local candidate config YAML: data/config/candidates/local/local_2014.yml
local_2017,1,no,no,no,no,no,yes,4150,,,candidate list|local candidate config YAML,candidate list|local candidate config YAML: data/config/candidates/local/local_2017.yml
local_2021,1,no,no,no,no,no,yes,3009,,,candidate list|local candidate config YAML,candidate list|local candidate config YAML: data/config/candidates/local/local_2021.yml
local_2025,1,no,no,no,no,no,yes,2348,,duplicated mapping key,candidate list|local candidate config YAML,candidate list|local candidate config YAML: data/config/candidates/local/local_2025.yml
parl_1919,1,no,no,no,no,no,no,0,data/candidates/parl1919.csv,,candidate list,candidate list: data/candidates/parl1919.csv
parl_2008,4,yes,yes,no,no,yes,no,2350,,,PR party lists|SMD candidates|annulled metadata|elected list,annulled metadata: data/candidates/parl2008_annulled_precincts.csv|elected list: data/candidates/parl2008_elected.csv|PR party lists: data/candidates/parl2008_party_lists.csv|SMD candidates: data/candidates/parl2008_smd_candidates.csv
parl_2012,4,yes,yes,no,no,yes,no,2921,,,PR party lists|SMD candidates|annulled metadata|elected list,annulled metadata: data/candidates/parl2012_annulled_precincts.csv|elected list: data/candidates/parl2012_elected.csv|PR party lists: data/candidates/parl2012_party_lists.csv|SMD candidates: data/candidates/parl2012_smd_candidates.csv
parl_2024,1,no,no,no,no,no,no,0,data/candidates/parl2024.csv,,candidate list,candidate list: data/candidates/parl2024.csv
pres_2008,2,no,no,no,yes,no,no,14,,,embedded candidate definitions|presidential candidates,presidential candidates: data/candidates/pres2008_candidates.csv|embedded candidate definitions: src/data/config/elections/presidential/pres_2008.yml
pres_2013,2,no,no,no,yes,no,no,46,,,embedded candidate definitions|presidential candidates,presidential candidates: data/candidates/pres2013_candidates.csv|embedded candidate definitions: src/data/config/elections/presidential/pres_2013.yml
pres_2018,1,no,no,no,yes,no,no,25,,,embedded candidate definitions,embedded candidate definitions: src/data/config/elections/presidential/pres_2018.yml
pres_2024_indirect,1,no,no,no,yes,no,no,1,,,embedded candidate definitions,embedded candidate definitions: src/data/config/elections/presidential/pres_2024_indirect.yml